"","BC16_fliv_N_1.sort.bam","BC16_fliv_N_2.sort.bam","BC16_fliv_O_1.sort.bam","BC16_fliv_O_2.sort.bam","BC16_fliv_P_1.sort.bam","BC16_fliv_P_2.sort.bam","BC16_fliv_Q_1.sort.bam","BC16_fliv_Q_2.sort.bam","BC16_fliv_R_1.sort.bam","BC16_fliv_R_2.sort.bam","CTRL_fliv_B_1.sort.bam","CTRL_fliv_B_2.sort.bam","CTRL_fliv_D_1.sort.bam","CTRL_fliv_D_2.sort.bam","CTRL_fliv_E_1.sort.bam","CTRL_fliv_E_2.sort.bam","CTRL_fliv_F_1.sort.bam","CTRL_fliv_F_2.sort.bam"
"Carmil1",8.41374973567594,8.41338786284602,9.00987135537598,9.0063195683635,8.80599861525525,8.80749060493132,8.397579583158,8.39963193858096,9.61438888743162,9.61227188020985,8.61741973208154,8.6221154351222,8.15154246024699,8.14930430442917,8.39944488521352,8.39920329490745,8.37523453627177,8.18786116047814
"Cmah",9.98655895705835,9.99093937250294,9.62461170082366,9.61902976677936,9.56839644534,9.56584459105721,9.13079774125279,9.13104209181231,9.65208914723352,9.65945210537085,9.25027353933229,9.25804694435921,9.19185775980239,9.1954710544172,8.926976550138,8.92654744907827,8.51517116185224,8.52972480774645
"Mboat1",7.77220626039782,7.77220626039782,7.96946181354583,7.96938682209962,7.8694053824064,7.8695515714311,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.54295664360629,8.48111466148748,7.85871424262458,7.85895190558427,7.77220626039782,8.25640062395722,8.78268453779057,8.75334551917129
"Serpinb6b",8.03591132011493,8.03576055121533,7.96946181354583,7.96938682209962,7.94049648984914,7.94074940960522,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,9.16761352973661,9.17501539448291,8.02658736210066,8.0272846193401,7.77220626039782,7.77220626039782,8.40918527568399,8.40978997823975
"Gm17938",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.81568160599039,7.81574701342815,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.57365770617685,8.65008927221994,7.85871424262458,7.85895190558427,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"A830082K12Rik",7.77220626039782,7.77220626039782,7.89527523028582,7.88610755496725,7.88720511761987,7.887378051533,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.60311572774527,8.6077362616461,7.95219721029869,7.95269120409652,7.77220626039782,7.77220626039782,8.33913056986463,8.33967055390243
"Hmgcr",10.2120288184616,10.1946584408412,10.2424422024466,10.2318480405979,9.64223439191458,9.63809948822656,9.96721643041224,9.95746826592395,8.44185228618016,8.4750562620463,8.34251270336284,8.49826488404262,9.075262637382,9.07777674069288,9.09633442220138,9.08605613958415,8.96196009972145,8.97925341115023
"Ercc8",7.77220626039782,7.77220626039782,8.11333385733058,8.11320456907266,8.19445878220007,8.19508959067412,8.51950408408256,8.52194054200427,8.65232691607911,8.65373507728175,7.77220626039782,7.77220626039782,8.04082263091875,8.0415586874597,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Gm10736",8.09495403908472,8.12049443167574,7.92645468085461,7.88610755496725,7.83368735781563,7.8592778557266,7.96504603122835,8.2443824592017,8.22361821368536,8.24860035022001,8.73561969858113,8.70322743099827,7.88387643796239,7.84303733874237,8.66040505387041,8.31292586552947,9.11324383160915,8.83186716649153
"Pdhb",10.0839146770667,10.1054463463176,9.96541328497521,9.95641352189189,9.75585691237816,9.75809090612676,9.74381439730032,9.74480893226616,9.32360597177118,9.30120874198935,9.15977836666614,9.16714450421677,9.56303937119631,9.57449471033901,9.19407677033658,9.11516690371467,9.35228550607789,9.34227825552515
"Gm47814",7.77220626039782,8.4263896300475,8.02673027619488,8.02236799141579,7.96158207894755,7.95162056098612,8.3780125824293,8.38000261028082,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.89452870776362,7.84303733874237,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782
"Gm18813",7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,7.934796205824,7.93504057721253,7.77220626039782,7.77220626039782,7.77220626039782,7.77220626039782,8.88162923776633,8.87719178703018,7.77220626039782,7.77220626039782,8.41077208181988,8.41052626664375,8.1009187201413,8.10123446977506
"Rpgrip1",8.09495403908472,8.09476976769376,8.0732076139489,8.07309341664046,7.96158207894755,7.94627028679174,8.21612886588933,8.23119169298683,7.77220626039782,7.77220626039782,9.05227033822482,9.05034723743839,7.93779035199358,7.92240891217754,8.3878961174968,8.38765884201374,8.67732013848141,8.67816572835805
